Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
script vs,76,76,110,29,0.00,https://blogs.perl.org/users/kido_mitsuru/2023/03/the-first-line-of-perl-cgi-script-env-perl-vs-perl-only-how-different.html,0,0,0.00,0,864000000,"[34,34,65,34,42,26,65,100,53,34,26,53]",2025-12-01,"Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
script vs,82,82,110,29,0.00,https://blogs.perl.org/users/kido_mitsuru/2023/03/the-first-line-of-perl-cgi-script-env-perl-vs-perl-only-how-different.html,0,0,0.00,0,864000000,"[34,34,65,34,42,26,65,100,53,34,26,53]",2025-12-01,"Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
source code download,81,81,70,54,0.00,https://www.perl.org/get.html,0,0,0.00,0,2890000000,"[10,10,5,7,35,5,23,100,12,17,7,10]",2025-09-10,"Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
nntps,27,27,90,19,0.00,https://perldoc.perl.org/Net::NNTP,0,0,0.00,0,70,"[12,21,100,28,15,28,34,12,0,12,43,0]",2025-09-10,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",informational,Organic
old documentation,60,60,140,26,0.00,https://perldoc.perl.org/perlpodspec,0,0,0.00,0,1850000000,"[22,35,22,35,18,35,0,35,14,22,66,35]",2025-09-06,"Video, Related searches","commercial, informational",Organic
define hoplites,36,36,110,43,0.00,https://qa.perl.org/phalanx/history.html,0,0,0.00,0,52600,"[15,15,26,42,26,42,42,53,53,100,65,34]",2025-09-08,"Instant answer, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
openssl rand -hex 32,55,55,390,20,0.00,https://blogs.perl.org/users/dana_jacobsen/2017/04/alternatives-to-rand.html,0,0,0.00,0,80200,"[1,2,3,3,3,1,1,1,1,1,0,100]",2025-09-06,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
unix executable file,71,71,320,14,0.00,https://www.perl.org/get.html,0,0,0.00,0,14000000,"[81,81,66,100,81,100,66,43,54,54,54,54]",2025-12-05,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
shapesource,14,14,90,21,0.00,https://www.perl.org/,0,0,0.00,0,20,"[9,9,9,52,52,52,52,66,52,33,23,52]",2025-09-10,Sitelinks,navigational,Organic
call exit,33,33,40,26,0.00,https://perldoc.perl.org/functions/exit,0,0,0.00,0,587000000,"[18,18,18,18,18,18,100,100,18,18,18,18]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
tar -xxf,82,82,480,78,0.00,https://perldoc.perl.org/Archive::Tar,0,0,0.00,0,666000000,"[100,0,0,0]",2025-09-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
perl functions,5,5,70,26,0.00,https://perldoc.perl.org/perlsub,0,0,0.00,0,10,"[33,19,42,23,42,42,66,42,42,33,19,23]",2025-11-12,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl functions,28,28,70,26,0.00,https://perldoc.perl.org/5.005/perlsub,0,0,0.00,0,10,"[33,19,42,23,42,42,66,42,42,33,19,23]",2025-11-12,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl functions,31,31,70,26,0.00,https://perldoc.perl.org/5.005/perlfunc,0,0,0.00,0,10,"[33,19,42,23,42,42,66,42,42,33,19,23]",2025-11-12,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl functions,47,47,70,26,0.00,https://learn.perl.org/docs/keywords.html,0,0,0.00,0,10,"[33,19,42,23,42,42,66,42,42,33,19,23]",2025-11-12,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl functions,68,68,70,26,0.00,https://perldoc.perl.org/5.005/perlfunc,0,0,0.00,0,10,"[33,19,42,23,42,42,66,42,42,33,19,23]",2025-11-12,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
black ovid,23,23,110,22,1.71,https://blogs.perl.org/users/ovid/2013/02/red-black-trees-in-perl-6-explained.html,0,0,0.00,0.57,17300000,"[23,28,43,35,43,23,28,23,28,17,23,28]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
download age-restricted youtube videos,37,37,70,2,0.00,https://blogs.perl.org/users/hjkl/2014/01/downloading-age-restricted-videos-from-youtube.html,0,0,0.00,0,75500000,"[0,1,23,100,0,4,1,0,0,0,0,0]",2025-12-06,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
gnu general public license explained,39,39,90,52,0.00,https://dev.perl.org/licenses/gpl1.html,0,0,0.00,0,345000,"[52,41,41,52,41,52,52,100,52,41,52,41]",2025-12-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
unicode database,10,10,140,73,0.00,https://perldoc.perl.org/Unicode::UCD,0,0,0.00,0,33200000,"[82,41,64,100,100,100,82,64,64,82,82,82]",2025-12-17,"Sitelinks, People also ask, Related searches",informational,Organic
is python a scripting language,83,83,390,26,0.00,https://www.perl.org/,0,0,0.00,0,44800000,"[32,39,48,39,39,26,39,32,39,39,32,21]",2025-09-12,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
autoload,24,24,170,43,0.00,https://perldoc.perl.org/AutoLoader,0,0,0.00,0,5280000,"[20,24,16,16,13,13,13,16,13,1,13,10]",2025-09-09,"Image pack, Sitelinks, Video, Related searches, See results about, AI overview",informational,Organic
autoload,49,49,170,43,0.00,https://blogs.perl.org/users/grinnz/2017/04/autoloadautocan---autoloading-the-easy-way.html,0,0,0.00,0,5280000,"[20,24,16,16,13,13,13,16,13,1,13,10]",2025-09-09,"Image pack, Sitelinks, Video, Related searches, See results about, AI overview",informational,Organic
lf and crlf,83,0,90,36,0.00,https://www.nntp.perl.org/group/perl.beginners/2003/01/msg39440.html,0,0,0.00,0,1970000,"[41,64,52,64,64,64,64,41,41,41,41,64]",2025-12-25,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
fr be language code,79,79,110,56,0.00,https://perldoc.perl.org/5.8.2/Locale::Language,0,0,0.00,0,507000000,"[100,64,78,78,78,78,78,78,64,64,50,78]",2025-12-02,"Related searches, AI overview","commercial, informational",Organic
gnu tar,97,97,70,44,0.00,https://www.perl.org/get.html,0,0,0.00,0,7860000,"[18,14,14,10,14,18,18,18,14,14,14,14]",2025-12-19,"Sitelinks, Video, People also ask, Related searches, See results about",navigational,Organic
re match get match,53,53,50,26,0.00,https://perldoc.perl.org/perlrequick,0,0,0.00,0,2600000000,"[52,11,100,23,11,100,11,0,11,11,11,0]",2025-12-17,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
elements in map,63,63,320,24,0.00,https://perldoc.perl.org/functions/map,0,0,0.00,0,891000000,"[0,100,54,36,12,23,19,29,12,15,67,36]",2025-09-10,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Datasets, AI overview",informational,Organic
regular expression backslash,14,14,90,16,0.00,https://perldoc.perl.org/perlrebackslash,0,0,0.00,0,77,"[42,42,34,34,26,26,34,42,34,42,34,26]",2025-09-06,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl script example,18,18,90,29,0.00,https://learn.perl.org/first_steps/,0,0,0.00,0,24800000,"[42,42,34,42,34,26,26,42,42,34,34,34]",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
compiler latex,80,80,260,50,0.95,https://www.perl.org/get.html,0,0,0.00,0.04,17300000,"[15,35,54,23,54,35,100,100,81,23,0,0]",2025-12-05,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
osx latex editor,92,92,170,60,1.35,https://www.perl.org/get.html,0,0,0.00,0.03,117000,"[66,14,29,22,43,14,22,35,35,29,22,54]",2025-12-19,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
python scripting language,94,94,170,79,1.93,https://www.perl.org/,0,0,0.00,0.01,161000000,"[29,22,22,22,29,14,18,35,35,43,43,81]",2025-09-08,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
how to run perl script,28,28,140,22,0.00,https://perldoc.perl.org/perlrun,0,0,0.00,0,17700000,"[34,34,21,34,34,34,43,65,81,100,53,28]",2025-12-19,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
how to run perl script,63,63,140,22,0.00,https://www.perl.org/get.html,0,0,0.00,0,17700000,"[34,34,21,34,34,34,43,65,81,100,53,28]",2025-12-19,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
opening things,45,45,90,22,0.00,https://perldoc.perl.org/5.8.6/perlopentut,0,0,0.00,0,4160000000,"[64,50,50,50,50,50,50,35,100,64,78,50]",2025-12-07,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview","informational, transactional",Organic
sarcastic font,22,22,110,12,0.00,https://blogs.perl.org/users/ron_savage/2012/11/a-font-just-for-scarcasm---gotta-love-it.html,0,0,0.00,0,29100000,"[11,11,8,8,18,18,35,35,1,15,18,23]",2025-10-26,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
raspberry pi spi bus,94,94,110,19,0.00,https://blogs.perl.org/users/steve_bertrand/2017/01/spi-bus-access-analog-inout-on-the-raspberry-pi-powered-by-perl.html,0,0,0.00,0,633000,"[66,52,42,52,33,52,80,80,52,52,66,52]",2025-09-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
crypts small intestine,1,1,40,28,0.00,https://perldoc.perl.org/functions/crypt,0,0,0.00,0,373000,"[11,11,64,11,11,11,11,100,11,0,11,11]",2025-11-15,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
5.38,41,41,70,3,0.00,https://perldoc.perl.org/perl5380delta,0,0,0.00,0,19600000,"[29,41,64,29,17,5,23,52,64,41,41,41]",2025-09-06,"Image pack, Sitelinks, Video, Image",informational,Organic
5.38,59,59,70,3,0.00,https://www.perl.org/get.html,0,0,0.00,0,19600000,"[29,41,64,29,17,5,23,52,64,41,41,41]",2025-09-06,"Image pack, Sitelinks, Video, Image",informational,Organic
definition for eclectic,77,77,480,45,0.00,https://www.perl.org/,0,0,0.00,0,12700000,"[5,8,2,4,3,100,3,3,10,13,1,5]",2025-10-08,"Knowledge panel, Video, People also ask, Related searches",informational,Organic
split in,31,31,110,46,0.00,https://perldoc.perl.org/functions/split,0,0,0.00,0,1010000000,"[64,52,64,52,82,100,82,0,82,41,52,64]",2025-12-18,"Sitelinks, Video, Related searches, AI overview",informational,Organic
macbook latex,59,59,90,59,0.00,https://www.perl.org/get.html,0,0,0.00,0,8800000,"[41,41,52,52,100,82,82,64,29,41,52,64]",2025-12-18,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
iso 3166-1 alpha-2 country code,53,53,40,72,0.00,https://perldoc.perl.org/5.8.1/Locale::Country,0,0,0.00,0,191000,"[14,35,14,35,50,28,100,100,0,7,0,7]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, FAQ, Related searches, AI overview",informational,Organic
bigrat,62,62,2400,34,0.00,https://perldoc.perl.org/5.8.1/bigrat,0,0,0.00,0,639000,"[12,1,8,54,100,3,4,24,1,0,0,3]",2025-12-24,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
redhat download,87,87,720,84,5.21,https://www.perl.org/get.html,0,0,0.00,0.14,69400000,"[100,52,37,52,37,31,37,25,25,25,46,20]",2025-12-08,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches, See results about",navigational,Organic
perl if statement,28,28,260,18,0.00,https://perldoc.perl.org/functions/if,0,0,0.00,0,93,"[18,18,14,100,54,54,66,54,66,54,66,54]",2025-09-08,"Image pack, Video, Related searches, AI overview",informational,Organic
what does grep -v do,67,67,70,33,0.00,https://perldoc.perl.org/functions/grep,0,0,0.00,0,27500000,"[23,100,0,0,0,1,1,4,1,2,0,0]",2025-11-07,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask",informational,Organic
launch perl script,14,14,50,9,0.00,https://perldoc.perl.org/perlrun,0,0,0.00,0,26600000,"[45,45,45,45,45,45,18,18,18,100,100,18]",2025-09-05,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
.get c,9,9,50,18,0.00,https://perldoc.perl.org/functions/getc,0,0,0.00,0,10,"[5,0,0,0,0,100,0,0,0,0,0,0]",2025-11-24,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",transactional,Organic
test 2,40,40,2400,29,0.00,https://perldoc.perl.org/Test2::Manual::Testing::Introduction,0,0,0.00,0,3450000000,"[43,28,28,66,19,36,24,15,36,43,24,54]",2025-12-21,"Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
older pearl,46,46,70,21,0.00,https://www.perl.org/get.html,0,0,0.00,0.01,291000000,"[100,14,14,14,35,21,50,100,64,50,50,50]",2025-12-08,"Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
older pearl,49,49,70,21,0.00,https://www.perl.org/get.html,0,0,0.00,0.01,291000000,"[100,14,14,14,35,21,50,100,64,50,50,50]",2025-12-08,"Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
wait c,98,98,260,31,0.00,https://perldoc.perl.org/functions/wait,0,0,0.00,0,2320000000,"[55,10,16,16,20,3,36,16,5,8,8,30]",2025-12-16,"Sitelinks, Video, People also ask, Related searches",informational,Organic
socket recv,20,20,110,29,0.00,https://perldoc.perl.org/functions/recv,0,0,0.00,0,1590000,"[43,43,28,35,28,28,28,23,23,28,23,28]",2025-12-13,"Sitelinks, Video, Related searches, AI overview",informational,Organic
socket recv,22,22,110,29,0.00,https://perldoc.perl.org/functions/recv,0,0,0.00,0,1590000,"[43,43,28,35,28,28,28,23,23,28,23,28]",2025-12-13,"Sitelinks, Video, Related searches, AI overview",informational,Organic
tr -cd,14,14,70,52,0.00,https://perldoc.perl.org/functions/tr,0,0,0.00,0,1990000000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-12-09,"Image pack, Sitelinks, Video, Image, Related searches",navigational,Organic
pointer array c programming,94,94,260,30,0.00,https://blogs.perl.org/users/mauke/2012/11/c-programming-what-is-the-difference-between-an-array-and-a-pointer.html,0,0,0.00,0,12600000,"[45,16,16,13,24,16,10,24,13,13,6,10]",2025-12-22,"Sitelinks, Video, Video Carousel, Related searches, See results about, AI overview",informational,Organic
perl copy file,1,1,90,11,0.00,https://perldoc.perl.org/File::Copy,0,0,0.00,0,89,"[34,34,42,42,34,26,42,34,42,34,34,26]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
perl copy file,1,1,90,11,0.00,https://perldoc.perl.org/File::Copy,0,0,0.00,0,89,"[34,34,42,42,34,26,42,34,42,34,34,26]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
perl println,37,37,110,18,0.00,https://perldoc.perl.org/functions/sprintf,0,0,0.00,0,9,"[52,66,42,52,42,33,19,66,66,42,52,33]",2025-11-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl println,50,50,110,18,0.00,https://perldoc.perl.org/perlfunc,0,0,0.00,0,9,"[52,66,42,52,42,33,19,66,66,42,52,33]",2025-11-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl println,82,82,110,18,0.00,https://perldoc.perl.org/perlrun,0,0,0.00,0,9,"[52,66,42,52,42,33,19,66,66,42,52,33]",2025-11-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl println,87,87,110,18,0.00,https://perldoc.perl.org/functions/printf,0,0,0.00,0,9,"[52,66,42,52,42,33,19,66,66,42,52,33]",2025-11-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
sqrt -72,20,20,90,43,0.00,https://perldoc.perl.org/functions/sqrt,0,0,0.00,0,19200000,"[0,0,30,36,0,0,0,0,0,0,0,0]",2025-12-24,"Instant answer, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
perl scripting languages,18,18,90,50,0.00,https://www.perl.org/about.html,0,0,0.00,0.01,28200000,"[0,41,41,52,52,52,52,52,82,41,41,64]",2025-12-18,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl scripting languages,26,26,90,50,0.00,https://www.perl.org/learn.html,0,0,0.00,0.01,28200000,"[0,41,41,52,52,52,52,52,82,41,41,64]",2025-12-18,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl scripting languages,80,80,90,50,0.00,https://perldoc.perl.org/,0,0,0.00,0.01,28200000,"[0,41,41,52,52,52,52,52,82,41,41,64]",2025-12-18,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
adding perl modules,19,19,90,16,0.00,https://learn.perl.org/installing/windows.html,0,0,0.00,0,39000000,"[52,52,41,52,52,52,52,52,52,64,29,41]",2025-10-19,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
what are scripts in coding,74,74,40,37,0.00,https://www.perl.org/,0,0,0.00,0.01,119000000,"[41,41,100,11,11,11,11,11,11,11,11,11]",2025-11-18,"Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
strawberry web,83,83,70,16,0.00,https://www.perl.org/get.html,0,0,0.00,0,158000000,"[100,18,100,18,18,18,100,100,18,18,18,100]",2025-12-13,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
strawberry web,89,89,70,16,0.00,https://www.perl.org/get.html,0,0,0.00,0,158000000,"[100,18,100,18,18,18,100,100,18,18,18,100]",2025-12-13,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
powershell and condition,87,87,140,20,0.00,https://www.perl.org/,0,0,0.00,0,10,"[53,80,53,65,65,65,65,80,65,53,53,26]",2025-11-12,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
powershell and condition,88,88,140,20,0.00,https://www.perl.org/,0,0,0.00,0,10,"[53,80,53,65,65,65,65,80,65,53,53,26]",2025-11-12,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
sub perl,11,11,110,34,0.00,https://perldoc.perl.org/functions/sub,0,0,0.00,0,18800000,"[53,42,100,42,26,34,34,42,26,42,53,34]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
z lib io,18,18,210,43,0.00,https://perldoc.perl.org/IO::Zlib,0,0,0.00,0,219000000,"[54,81,54,18,14,66,43,14,43,54,29,43]",2025-09-10,"Sitelinks, Video, Related searches",informational,Organic
sage ariel henriksen,58,58,590,24,0.00,https://www.nntp.perl.org/group/perl.perl6.compiler/2015/12/msg12183.html,0,0,0.00,0,23600,"[72,88,17,21,59,48,72,39,39,32,59,88]",2025-10-09,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
php ucfirst,61,61,90,29,0.00,https://perldoc.perl.org/functions/ucfirst,0,0,0.00,0,102000,"[64,52,52,100,41,64,29,41,29,41,41,29]",2025-12-20,"Video, Video Carousel, Related searches",informational,Organic
difference between list and array,68,68,110,30,0.00,https://blogs.perl.org/users/mike_friedman/2013/07/whats-the-difference-between-arrays-and-lists.html,0,0,0.00,0,311000000,"[5,5,15,28,8,15,66,35,23,11,18,3]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
unix-like,77,77,390,33,0.00,https://www.perl.org/get.html,0,0,0.00,0,57900000,"[1,3,3,4,1,3,5,3,100,0,0,0]",2025-09-08,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
coding langue,42,42,40,68,0.00,https://www.perl.org/,0,0,0.00,0,242000000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-11-19,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
sqrt -16,14,14,40,28,0.00,https://perldoc.perl.org/functions/sqrt,0,0,0.00,0,15400000,"[0,1,0,0,11,0,0,0,0,0,0,0]",2025-10-29,"Instant answer, Image pack, Sitelinks, Video, Related searches",informational,Organic
perl object oriented programming,18,18,40,23,0.00,https://www.perl.org/about/whitepapers/perl-object-oriented.html,0,0,0.00,0,2210000,"[14,14,14,14,14,100,78,14,14,14,14,14]",2025-12-17,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl object oriented programming,29,29,40,23,0.00,https://perldoc.perl.org/5.005/perltoot,0,0,0.00,0,2210000,"[14,14,14,14,14,100,78,14,14,14,14,14]",2025-12-17,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl object oriented programming,48,48,40,23,0.00,https://perldoc.perl.org/perlobj,0,0,0.00,0,2210000,"[14,14,14,14,14,100,78,14,14,14,14,14]",2025-12-17,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl object oriented programming,85,85,40,23,0.00,https://perldoc.perl.org/perltoot,0,0,0.00,0,2210000,"[14,14,14,14,14,100,78,14,14,14,14,14]",2025-12-17,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
5.8.7 scope,42,42,70,21,0.00,https://perldoc.perl.org/functions/open,0,0,0.00,0,45300,"[4,43,66,54,6,4,0,0,0,0,0,0]",2025-12-11,"Image pack, Sitelinks, Video, Related searches",informational,Organic
open handles windows,21,21,40,34,0.53,https://perldoc.perl.org/functions/open,0,0,0.00,1,54700000,"[81,45,45,0,45,27,63,18,18,18,0,0]",2025-12-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
n regex,62,62,70,40,0.00,https://perldoc.perl.org/perlre,0,0,0.00,0,19100000,"[78,50,50,50,50,64,50,50,50,50,50,35]",2025-11-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
lua sleep,67,67,140,8,0.00,https://perldoc.perl.org/functions/sleep,0,0,0.00,0,10,"[65,80,53,42,42,42,53,42,53,53,34,42]",2025-11-09,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
data language,15,11,210,50,0.00,https://pdl.perl.org/,0,0,0.00,0.01,4410000000,"[23,5,28,15,23,15,81,44,100,23,44,44]",2025-12-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
great britain iso country code,18,18,50,62,0.00,https://perldoc.perl.org/5.8.1/Locale::Country,0,0,0.00,0,14600000,"[77,55,55,55,77,33,77,77,77,55,55,44]",2025-12-15,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
open perl,9,9,90,22,0.00,https://perldoc.perl.org/5.14.2/functions/open,0,0,0.00,0,39900000,"[34,34,53,34,26,26,34,34,42,42,34,34]",2025-12-23,"Sitelinks, Video, Related searches, AI overview",informational,Organic
open perl,15,15,90,22,0.00,https://perldoc.perl.org/5.6.2/functions/open,0,0,0.00,0,39900000,"[34,34,53,34,26,26,34,34,42,42,34,34]",2025-12-23,"Sitelinks, Video, Related searches, AI overview",informational,Organic
open perl,29,29,90,22,0.00,https://perldoc.perl.org/open,0,0,0.00,0,39900000,"[34,34,53,34,26,26,34,34,42,42,34,34]",2025-12-23,"Sitelinks, Video, Related searches, AI overview",informational,Organic
open perl,87,87,90,22,0.00,https://perldoc.perl.org/5.8.6/perlopentut,0,0,0.00,0,39900000,"[34,34,53,34,26,26,34,34,42,42,34,34]",2025-12-23,"Sitelinks, Video, Related searches, AI overview",informational,Organic
jakub jankiewicz,73,73,70,26,0.00,https://www.perl.org/,0,0,0.00,0,81,"[1,1,1,1,1,13,8,13,10,1,1,1]",2025-09-10,"Knowledge panel, Video, Image",informational,Organic
dict.org,66,66,40,35,0.00,https://perldoc.perl.org/Search::Dict,0,0,0.00,0,19600000,"[17,41,11,41,41,100,0,0,0,0,0,0]",2025-11-27,"Sitelinks, Video, People also ask",informational,Organic
100 strawberry,81,81,170,25,0.00,https://www.perl.org/get.html,0,0,0.00,0.03,383000000,"[29,23,29,19,12,29,29,2,12,12,12,2]",2025-09-05,"Image pack, Video, Image, People also ask, Related searches, See results about","commercial, informational",Organic
cpan login,17,17,110,19,0.00,https://pause.perl.org/,0,0,0.00,0,63,"[52,82,64,100,82,41,64,52,100,64,100,64]",2025-09-06,"Image pack, Sitelinks, Video, Related searches","navigational, transactional",Organic
perl conditional statements,12,12,210,13,0.00,https://perldoc.perl.org/perlsyn,0,0,0.00,0,40300000,"[66,22,43,35,43,22,43,35,66,29,22,43]",2025-12-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl conditional statements,25,25,210,13,0.00,https://perldoc.perl.org/perlintro,0,0,0.00,0,40300000,"[66,22,43,35,43,22,43,35,66,29,22,43]",2025-12-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl conditional statements,33,33,210,13,0.00,https://perldoc.perl.org/perlintro,0,0,0.00,0,40300000,"[66,22,43,35,43,22,43,35,66,29,22,43]",2025-12-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl conditional statements,92,92,210,13,0.00,https://perldoc.perl.org/5.24.4/perlsyn.txt,0,0,0.00,0,40300000,"[66,22,43,35,43,22,43,35,66,29,22,43]",2025-12-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
charset iso 8859 1,55,55,140,44,0.00,https://blogs.perl.org/users/kido_mitsuru/2023/04/how-to-change-charsetiso-8859-1-to-charsetutf8-rocky-91-server.html,0,0,0.00,0,1070000,"[66,52,66,66,80,100,80,80,66,80,66,66]",2025-12-21,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
how to tell redhat version,78,78,70,29,0.00,https://www.nntp.perl.org/group/perl.perl5.porters/1999/10/msg3136.html,0,0,0.00,0.02,7660000,"[63,45,45,45,63,63,100,63,63,45,63,63]",2025-11-30,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pear coding,40,40,40,50,0.00,https://www.perl.org/,0,0,0.00,0,40400000,"[7,7,7,7,7,7,7,42,42,7,7,42]",2025-11-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
cygwin x,95,95,50,24,0.00,https://www.perl.org/get.html,0,0,0.00,0,1450000,"[23,12,12,12,17,17,17,5,5,5,5,5]",2025-12-19,"Knowledge panel, Sitelinks, Video, Related searches","navigational, transactional",Organic
scoop.sh,93,93,40,40,0.00,https://blogs.perl.org/users/itcharlie/2022/10/the-scoop-on-windows-running-perl.html,0,0,0.00,0,13400000,"[21,9,21,34,28,21,0,0,0,0,0,0]",2025-11-25,"Sitelinks, Video, People also ask",informational,Organic
strawberry commons,63,63,210,21,0.43,https://www.perl.org/get.html,0,0,0.00,0.04,10,"[53,65,53,65,53,53,53,53,81,100,53,43]",2025-11-07,"Knowledge panel, Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic
64 in binary,77,77,480,24,0.00,https://www.perl.org/get.html,0,0,0.00,0,143000000,"[55,30,24,30,36,30,30,24,16,16,30,45]",2025-12-19,"Instant answer, Sitelinks, Video, People also ask, Related searches",informational,Organic
perl toupper,14,14,50,5,0.00,https://perldoc.perl.org/functions/ucfirst,0,0,0.00,0,10,"[19,19,19,19,19,26,19,26,26,26,26,26]",2025-11-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
